name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng
Los Coming Soon,Group,,AR,,,,,,Argentina,,
Koreless,Person,Male,GB,,,,,,United Kingdom,,
Anderson .Paak,Person,Male,US,1986,,Oxnard,"Oxnard, Ventura County, California, United States",,United States,,
We Are Enfant Terrible,Group,,,,,,,,,,
Emily King,Person,Female,US,1985-07-10,,New York,"New York, New York, United States",,United States,,
NZCA LINES,Person,Male,GB,,,,,,United Kingdom,,
The Arcs,Group,,US,,,Athens,"Athens, Clarke County, Georgia, United States",,United States,,
Beach House,Group,,US,2004,,Baltimore,"Baltimore, Maryland, United States",,United States,,
Units,Group,,US,1978,1984,,,,United States,,
Björk,Person,Female,IS,1965-11-21,,Reykjavík,"Reykjavík, Höfuðborgarsvæðið, Iceland",,Iceland,,
The Smiths,Group,,GB,1982,1987,Manchester,"Manchester, Greater Manchester, England, United Kingdom",,United Kingdom,,
Alvvays,Group,,CA,2011,,Toronto,"Toronto, Ontario, Canada",,Canada,,
Damien Jurado,Person,Male,US,1972-11-12,,Seattle,"Seattle, King County, Washington, United States",,United States,,
Witch,Person,,JP,,,,,,Japan,,
Broadcast,Group,,,1995,,,,,Birmingham,,
Lindstrøm,Person,Male,NO,1973-02-16,,Stavanger,"Stavanger, Rogaland, Norway",,Norway,,
Dan Croll,Person,Male,GB,1990-07-18,,,,,United Kingdom,,
Sister Nancy,Person,Female,JM,1962-01-02,,,,,Jamaica,,
Emmylou Harris,Person,Female,US,1947-04-02,,Birmingham,"Birmingham, Jefferson County, Alabama, United States",,United States,,
Daniel Lanois,Person,Male,CA,1951-09-19,,Hull,"Hull, Gatineau, Quebec, Canada",,Canada,,
Juan Wauters,Person,Male,US,,,Uruguay,Uruguay,,United States,,
"Astronauts, etc.",Person,Male,US,,,,,,United States,,
Courtney John,Person,,,,,,,,,,
Isaac Delusion,Group,,FR,2010,,,,,France,,
Gruff Rhys,Person,Male,,1970-07-18,,Haverfordwest,"Haverfordwest, Pembrokeshire, Wales, United Kingdom",,Cardiff,,
Dena,Person,Female,,,,Bulgaria,Bulgaria,,Berlin,,
Architecture in Helsinki,Group,,AU,2000,,Melbourne,"Melbourne, Victoria, Australia",,Australia,,
Joe Pass,Person,Male,US,1929-01-13,1994-05-23,New Brunswick,"New Brunswick, Middlesex County, New Jersey, United States",,United States,,
Jeff Tweedy,Person,Male,US,1967-08-25,,Belleville,"Belleville, St. Clair County, Illinois, United States",,United States,,
TOPS,Group,,JP,1986,1991,,,,Japan,,
Jungle,Group,,GB,2013,,London,"London, England, United Kingdom",,United Kingdom,,
Henri Texier,Person,Male,FR,1945-01-27,,,,,France,,
18+,Group,,,,,,,,Los Angeles,,
Miracle Fortress,Group,,,2006,,Stratford,"Stratford, Ontario, Canada",,Montreal,,
The Crayon Fields,Group,,AU,2001,,Melbourne,"Melbourne, Victoria, Australia",,Australia,,
Kilo Kish,Person,Female,US,1990-05-10,,Orlando,"Orlando, Orange County, Florida, United States",,United States,,
Jacques Dutronc,Person,Male,FR,1943-04-28,,,,,France,,
