name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng
Stella Chiweshe,Person,Female,DE,1946-07-08,,Zimbabwe,Zimbabwe,,Germany,,
Tigist Bekele,Person,Female,ET,,,,,,Ethiopia,,
Abdu Kiar,Person,Male,ET,1976-06-23,,,,,Ethiopia,,
Aster Aweke,Person,Female,US,1959,,Gondar,"Gondar, Āmara, Ethiopia",,United States,,
Tacocat,Group,,US,2008,,Seattle,"Seattle, King County, Washington, United States",,United States,,
Cheap Girls,Group,,US,2007,,Lansing,"Lansing, Ingham County, Michigan, United States",,United States,,
Snowing,Group,,US,2008-08,2011-09,,,,United States,,
Swearin',Group,,US,2011,,,,,United States,,
Big Eyes,Group,,,2009-10,,Brooklyn,"Brooklyn, New York, New York, United States",,Seattle,,
Cayetana,Group,,,2011,,Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, United States",,Philadelphia,,
Hard Girls,Group,,US,,,,,,United States,,
The Ambulars,Group,,,,,,,,,,
All Dogs,Group,,,,,,,,Columbus,,
Screaming Females,Group,,US,2006,,New Brunswick,"New Brunswick, Middlesex County, New Jersey, United States",,United States,,
Candy Hearts,,,,,,,,,,,
Black Wine,,,,,,,,,,,
Good Luck,Group,,US,2007-04-13,,Bloomington,"Bloomington, Monroe County, Indiana, United States",,United States,,
P.S. Eliot,Group,,,,,,,,,,
Major Lazer,Group,,US,2009,,,,,United States,,
Far East Movement,Group,,US,2003,,,,,United States,,
Ingrid Michaelson,Person,Female,US,1979-12-08,,Staten Island,"Staten Island, New York, New York, United States",,United States,,
Carly Rae Jepsen,Person,Female,CA,1985-11-21,,British Columbia,"British Columbia, Canada",,Canada,,
Davido,Person,Male,NG,1992-11-21,,,,,Nigeria,,
Ice Prince,Person,Male,NG,,,,,,Nigeria,,
WizKid,Person,Male,,1990-07-16,,,,,Lagos,,
Timaya,Person,,,,,,,,,,
Slyde,Group,,GB,,,,,,United Kingdom,,
Wande Coal,Person,Male,NG,,,Lagos,"Lagos, Lagos, Nigeria",,Nigeria,,
Mystro,Person,,GB,,,,,,United Kingdom,,
El,Group,,NO,1985,1990,,,,Norway,,
Kas,,,,,,,,,,,
D'banj,Person,Male,NG,1980-06-09,,,,,Nigeria,,
Terry G,,,,,,,,,,,
Alec Empire,Person,Male,DE,1972-05-02,,Charlottenburg,"Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, Germany",,Germany,,
Ceephax Acid Crew,Person,,GB,1979-03,,Chelmsford,"Chelmsford, Essex, England, United Kingdom",,United Kingdom,,
Knifehandchop,Person,Male,CA,,,Toronto,"Toronto, Ontario, Canada",,Canada,,
Kid606,Person,Male,VE,1979-07-27,,Caracas,"Caracas, Venezuela",,Venezuela,,
Venetian Snares,Person,Male,CA,1975-01-11,,,,,Canada,,
Atari Teenage Riot,Group,,DE,1992-01,,Berlin,"Berlin, Germany",,Germany,,
Shizuo,Person,Male,DE,1973-08-14,2011-05-15,Wehr,"Wehr, Baden-Württemberg, Germany",,Germany,,
Bong‐Ra,Person,Male,NL,,,,,,Netherlands,,
Dev/Null,Person,Male,US,,,,,,United States,,
Cardopusher,Person,Male,VE,,,,,,Venezuela,,
Drumcorps,Person,Male,,,,Massachusetts,"Massachusetts, United States",,Geneva,,
Otto von Schirach,Person,Male,,1978,,,,,Miami,,
Patric Catani,Person,Male,,,,,,,Berlin,,
Lolita Storm,Group,,GB,,,,,,United Kingdom,,
Lazlo Hollyfeld,Group,,US,2003,,,,,United States,,
El Ten Eleven,Group,,US,2002-08,,Silver Lake,"Silver Lake, Los Angeles, Los Angeles County, California, United States",,United States,,
Talkdemonic,Group,,US,2002-12,2011,Portland,"Portland, Multnomah County, Oregon, United States",,United States,,
Alice in Chains,Group,,US,1987,,Seattle,"Seattle, King County, Washington, United States",,United States,,
Harlem,Group,,PL,1993,,,,,Poland,,
James Brown,Person,,NZ,,,,,,New Zealand,,
Sex Pistols,Group,,GB,1975-10,1978-01-14,London,"London, England, United Kingdom",,United Kingdom,,
The Stone Poneys,Group,,US,1964,1968,,,,United States,,
Blondie,Group,,US,1974,,New York,"New York, New York, United States",,United States,,
Space Twins,Group,,US,,,,,,United States,,
Warren Zevon,Person,Male,US,1947-01-24,2003-09-07,Chicago,"Chicago, Cook County, Illinois, United States",,United States,,
The Bats,Group,,ZA,1964,,,,,South Africa,,
Tom Waits,Person,Male,US,1949-12-07,,Pomona,"Pomona, Los Angeles County, California, United States",,United States,,
Sammy,,,,,,,,,,,
Sore Eros,,,,,,,,,,,
The Baptist Generals,Group,,US,1998,,Denton,"Denton, Denton County, Texas, United States",,United States,,
Woven Bones,Group,,US,,,Austin,"Austin, Travis County, Texas, United States",,United States,,
Calvin Johnson,Person,Male,US,1962-11-01,,Olympia,"Olympia, Thurston County, Washington, United States",,United States,,
Apache Dropout,Group,,US,2008,,Bloomington,"Bloomington, Monroe County, Indiana, United States",,United States,,
Explode Into Colors,Group,,,2008,2010,,,,,,
No Age,Group,,,2005,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,Los Angeles,,
The Fire Engines,Group,,GB,,,,,,United Kingdom,,
The Pica Beats,Group,,,,,,,,,,
Meth Teeth,,,,,,,,,,,
Vivian Girls,Group,,US,2007-03,2014-01-22,New York,"New York, New York, United States",,United States,,
Volcano Suns,Group,,US,1983,1991,,,,United States,,
Scrawl,Group,,US,1985,,,,,United States,,
Adrian Orange,Person,,,,,,,,,,
Pill Wonder,,,,,,,,,,,
Three Mile Pilot,Group,,US,,,San Diego,"San Diego, San Diego County, California, United States",,United States,,
Home Blitz,Group,,,,,,,,New Jersey,,
764-HERO,Group,,US,1995,2002,Seattle,"Seattle, King County, Washington, United States",,United States,,
Spectre Folk,Group,,,,,,,,,,
Christmas Island,Group,,US,,,San Diego,"San Diego, San Diego County, California, United States",,United States,,
My Dad Is Dead,Group,,US,1985,,,,,United States,,
The Ponys,Group,,US,2002,2004,Portland,"Portland, Cumberland County, Maine, United States",,United States,,
Wreckless Eric,Person,Male,GB,1954-05-18,,Newhaven,"Newhaven, East Sussex, England, United Kingdom",,United Kingdom,,
Beat the Devil,Group,,US,2004,2008,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
Tim Cohen,Person,Male,US,,,,,,United States,,
Super Wild Horses,Group,,,,,,,,,,
Orca Team,Group,,,,,,,,,,
Horse Feathers,Group,,US,2004,,Portland,"Portland, Multnomah County, Oregon, United States",,United States,,
Landlady,Group,,,2011,,,,,Brooklyn,,
Liquid Liquid,Group,,US,1980,1983,New York,"New York, New York, United States",,United States,,
Miracle Legion,Group,,US,1984,,,,,United States,,
The Amazing,Group,,SE,,,,,,Sweden,,
John Grant,Person,Male,US,,,,,,United States,,
Tenniscoats,Group,,JP,,,,,,Japan,,
Floating Action,Person,Male,,,,,,,,,
Papercuts,Group,,US,2000,,,,,United States,,
Night Moves,Group,,US,2010,,Minneapolis,"Minneapolis, Hennepin County, Minnesota, United States",,United States,,
The Holydrug Couple,Group,,CL,,,,,,Chile,,
Tijuana Panthers,Group,,US,2009,,Long Beach,"Long Beach, Los Angeles County, California, United States",,United States,,
Greyhounds,,,,,,,,,,,
Monarchs,Group,,US,2007,,Birmingham,"Birmingham, Jefferson County, Alabama, United States",,United States,,
Jeremy Jay,Person,Male,US,,,,,,United States,,
Ananda Shankar,Person,Male,IN,1942-12-11,1999-03-26,Almora,"Almora, Uttarakhand, India",,India,,
Poliça,Group,,US,2011,,Minneapolis,"Minneapolis, Hennepin County, Minnesota, United States",,United States,,
Bobby Charles,Person,Male,US,1938-02-21,2010-01-14,,,,United States,,
Calexico,Group,,US,1996,,Tucson,"Tucson, Pima County, Arizona, United States",,United States,,
Nolan Porter,Person,Male,US,,,,,,United States,,
Willie Wright,,,,,,,,,,,
Matthew Halsall,Person,Male,,1983-09-11,,,,,Manchester,,
Gayngs,Group,,US,2010,,,,,United States,,
Mark McGuire,Person,,,1986-12-31,,,,,,,
Marvin Pontiac,Person,,,,,,,,,,
Donny Hathaway,Person,Male,US,1945-10-01,1979-01-13,Chicago,"Chicago, Cook County, Illinois, United States",,United States,,
Cymande,Group,,GB,1971,1974,London,"London, England, United Kingdom",,United Kingdom,,
Julee Cruise,Person,Female,US,1956-12-01,,Creston,"Creston, Union County, Iowa, United States",,United States,,
Weather Report,Group,,US,1971,1986,New York,"New York, New York, United States",,United States,,
Boom Clap Bachelors,Group,,DK,2005,,Copenhagen,"Copenhagen, Capital Region of Denmark, Denmark",,Denmark,,
Judee Sill,Person,Female,US,1944-10-07,1979-11-23,Oakland,"Oakland, Alameda County, California, United States",,United States,,
DJ Rashad,Person,Male,US,1979-10-09,2014-04-26,Hammond,"Hammond, Lake County, Indiana, United States",,United States,,
Buke and Gase,Group,,US,2008,,,,,United States,,
Sam Prekop,Person,Male,US,1964-10-18,,Chicago,"Chicago, Cook County, Illinois, United States",,United States,,
Shamir,Person,Male,US,1994-11-08,,,,,United States,,
ERIMAJ,Group,,US,,,,,,United States,,
Dr. Buzzard’s Original Savannah Band,Group,,US,1976,1979,The Bronx,"The Bronx, New York, New York, United States",,United States,,
Leon Vynehall,,,,,,,,,,,
Madlib,Person,Male,US,1973-10-24,,Oxnard,"Oxnard, Ventura County, California, United States",,United States,,
Jonathan Richman & The Modern Lovers,Group,,US,1976,1988,Berkeley,"Berkeley, Alameda County, California, United States",,United States,,
The Monkees,Group,,US,1966,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Dennis Wilson,Person,,,,,,,,,,
Metronomy,Group,,GB,1999,,Totnes,"Totnes, Devon, England, United Kingdom",,United Kingdom,,
Four Tet,Person,Male,GB,1978,,London,"London, England, United Kingdom",,United Kingdom,,
Jon Hopkins,Person,Male,GB,1979-08-15,,Kingston upon Thames,"Kingston upon Thames, Kingston upon Thames, London, England, United Kingdom",,United Kingdom,,
Mary Clark,Person,Female,,,,,,,,,
Paradis,Group,,,,,,,,Paris,,
Cut Chemist,Person,Male,US,1972-10-04,,New York,"New York, New York, United States",,United States,,
Still Corners,Group,,,,,,,,,,
Poolside,Group,,US,2011,,,,,United States,,
Holy Ghost!,Group,,US,2007,,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
J Dilla,Person,Male,US,1974-02-07,2006-02-10,Detroit,"Detroit, Wayne County, Michigan, United States",,United States,,
Handsome Boy Modeling School,Group,,US,1999,2006,,,,United States,,
Koudlam,Person,,,,,,,,,,
Canyons,Group,,,,,,,,,,
Moodoïd,,,,,,,,,,,
Friendly Fires,Group,,GB,2006,,City of St Albans,"City of St Albans, Hertfordshire, England, United Kingdom",,United Kingdom,,
Gold Panda,Person,Male,GB,1980,,,,,United Kingdom,,
Du Tonc,Group,,,,,,,,,,
Air France,Group,,SE,,2012-03-26,Gothenburg,"Gothenburg, Västra Götaland, Sweden",,Sweden,,
Session Victim,Group,,,,,,,,,,
Hackman,Person,Male,GB,,,,,,United Kingdom,,
Action Bronson,Person,Male,,1983-12-02,,Flushing,"Flushing, Queens, New York, New York, United States",,New York,,
Jape,Person,Male,IE,2003,,Dublin,"Dublin, County Dublin, Leinster, Ireland, Ireland",,Ireland,,
Kavinsky,Person,Male,FR,1975-07-31,,Paris,"Paris, Île-de-France, France",,France,,
Suuns,Group,,CA,2006,,,,,Canada,,
Big Boi,Person,Male,US,1975-02-01,,Savannah,"Savannah, Chatham County, Georgia, United States",,United States,,
Siriusmo,Person,,,,,,,,,,
CANT,Person,Male,US,,,,,,United States,,
The Horrors,Group,,US,1997,2003,Cedar Rapids,"Cedar Rapids, Linn County, Iowa, United States",,United States,,
Erykah Badu,Person,Female,US,1971-02-26,,Dallas,"Dallas, Dallas County, Texas, United States",,United States,,
Slum Village,Group,,US,1996,,Detroit,"Detroit, Wayne County, Michigan, United States",,United States,,
Body Language,,,,,,,,,,,
Hercules,Person,Male,,1959-09-19,,Chicago,"Chicago, Cook County, Illinois, United States",,Manchester,,
Nina Kraviz,Person,Female,RU,,,Russia,Russia,,Russia,,
Mickey Moonlight,Person,,,,,,,,,,
Husbands,Group,,FR,,,,,,France,,
CSS,Group,,BR,2003-09,,São Paulo,"São Paulo, São Paulo, Brazil",,Brazil,,
Minks,Group,,US,,2014-06-03,,,,United States,,
The Preatures,Group,,AU,2010,,Sydney,"Sydney, New South Wales, Australia",,Australia,,
Rainbow Arabia,Group,,US,,,,,,United States,,
Crystal Fighters,Group,,GB,2007,,London,"London, England, United Kingdom",,United Kingdom,,
Taragana Pyjarama,,,,,,,,,,,
Part Time,Group,,US,,,San Francisco,"San Francisco, California, United States",,United States,,
Empress Of,Person,Female,US,,,,,,United States,,
Natasha Kmeto,,,,,,,,,,,
Peaches,Group,,NZ,,,,,,New Zealand,,
Midnight,Group,,US,2003,,,,,United States,,
EMA,Person,Female,US,,,Sioux Falls,"Sioux Falls, Minnehaha County, South Dakota, United States",,United States,,
Alpine,Group,,AU,2009,,Melbourne,"Melbourne, Victoria, Australia",,Australia,,
Kero Kero Bonito,Group,,GB,2011,,,,,United Kingdom,,
Clams Casino,Person,Male,US,1987-05-12,,,,,United States,,
Death Grips,Group,,US,2010-12-21,,Sacramento,"Sacramento, Sacramento County, California, United States",,United States,,
Mount Kimbie,Group,,GB,2008,,London,"London, England, United Kingdom",,United Kingdom,,
Flying Lotus,Person,Male,US,1983-10-07,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Holy Other,Person,Male,GB,,,,,,United Kingdom,,
Daedelus,Person,Male,US,1977-10-31,,Santa Monica,"Santa Monica, Los Angeles County, California, United States",,United States,,
Hudson Mohawke,Person,Male,GB,1986-02-11,,Glasgow,"Glasgow, Scotland, United Kingdom",,United Kingdom,,
Thundercat,Person,Male,US,1984-10-19,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Onra,Person,Male,FR,1981,,Germany,Germany,,France,,
Mariah,Group,,JP,1980,,,,,Japan,,
John Maus,Person,Male,US,1980-02-23,,,,,United States,,
Holly Herndon,Person,Female,US,,,,,,United States,,
Surfer Blood,Group,,US,2009,,West Palm Beach,"West Palm Beach, Palm Beach County, Florida, United States",,United States,,
The Cure,Group,,GB,1977,,Crawley,"Crawley, West Sussex, England, United Kingdom",,United Kingdom,,
Edwyn Collins,Person,Male,GB,1959-08-23,,Edinburgh,"Edinburgh, Scotland, United Kingdom",,United Kingdom,,
Palma Violets,Group,,GB,,,,,,United Kingdom,,
Avi Buffalo,Group,,US,,,,,,United States,,
Twin Shadow,Person,Male,US,1983,,Dominican Republic,Dominican Republic,,United States,,
Sparks,Group,,US,1970,,,,,United States,,
The Drones,Group,,GB,,,,,,United Kingdom,,
Slim Twig,Person,Male,CA,1988,,Toronto,"Toronto, Ontario, Canada",,Canada,,
Molly Nilsson,Person,Female,SE,,,,,,Sweden,,
Amen Dunes,Group,,,2006,,Brooklyn,"Brooklyn, New York, New York, United States",,Brooklyn,,
U.S. Girls,Person,Female,US,,,,,,United States,,
J Mascis,Person,Male,US,1965-12-10,,Amherst,"Amherst, Hampshire County, Massachusetts, United States",,United States,,
The Czars,Group,,US,1994,2004,,,,United States,,
Golden Smog,Group,,US,1989,,Minneapolis,"Minneapolis, Hennepin County, Minnesota, United States",,United States,,
Television Personalities,Group,,GB,1978,,London,"London, England, United Kingdom",,United Kingdom,,
Them,Group,,GB,1963,1979,Belfast,"Belfast, County Down, Northern Ireland, Ireland",,United Kingdom,,
ANIKA,Person,Female,,,,,,,,,
Kate Havnevik,Person,Female,NO,1975-10-27,,Oslo,"Oslo, Norway",,Norway,,
Inara George,Person,Female,US,1974-07-04,,,,,United States,,
Butterfly Boucher,Person,Female,AU,1979-06-02,,,,,Australia,,
Let's Go Sailing,Group,,US,2002-11,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
The Ditty Bops,Group,,US,2003,2012,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Correatown,Person,,,,,,,,,,
Anya Marina,Person,Female,US,,,,,,United States,,
Adrienne Pierce,Person,Female,CA,1968,,West Vancouver,"West Vancouver, Vancouver, British Columbia, Canada",,Canada,,
Kendall Payne,Person,Female,US,1980-04-10,,Santa Monica,"Santa Monica, Los Angeles County, California, United States",,United States,,
Maria Taylor,Person,Female,US,1976-05-21,,Birmingham,"Birmingham, Jefferson County, Alabama, United States",,United States,,
Cheap Time,Group,,US,,,Nashville,"Nashville, Davidson County, Tennessee, United States",,United States,,
Teengenerate,Group,,JP,1993,1996,,,,Japan,,
CPC Gangbangs,Group,,CA,2003,2008-11,Montreal,"Montreal, Quebec, Canada",,Canada,,
Box Elders,Group,,,,,,,,,,
Personal And The Pizzas,Group,,US,,,,,,United States,,
Thomas Function,Group,,US,,,,,,United States,,
Katy Perry,Person,Female,US,1984-10-25,,Santa Barbara,"Santa Barbara, Santa Barbara County, California, United States",,United States,,
Owl City,Person,Male,US,1986-07-05,,Owatonna,"Owatonna, Steele County, Minnesota, United States",,United States,,
Edward Elgar,Person,Male,GB,1857-06-02,1934-02-23,Worcestershire,"Worcestershire, England, United Kingdom",,United Kingdom,,
Giacomo Puccini,Person,Male,IT,1858-12-22,1924-11-29,Lucca,"Lucca, Lucca, Toscana, Italy",,Italy,,
Max Bruch,Person,Male,DE,1838-01-06,1920-10-20,Cologne,"Cologne, Nordrhein-Westfalen, Germany",,Germany,,
Samuel Barber,Person,Male,US,1910-03-09,1981-01-23,Pennsylvania,"Pennsylvania, United States",,United States,,
Richard Strauss,Person,Male,DE,1864-06-11,1949-09-08,Munich,"Munich, Bayern, Germany",,Germany,,
Anton Bruckner,Person,Male,AT,1824-09-04,1896-10-11,Ansfelden,"Ansfelden, Oberösterreich, Austria",,Austria,,
Сергей Рахманинов,Person,Male,SU,1873-04-01,1943-03-28,Novgorodskaya oblast',"Novgorodskaya oblast', Russia",,Soviet Union,,
Jules Massenet,Person,Male,FR,1842-05-12,1912-08-13,Saint-Étienne,"Saint-Étienne, Loire, Rhône-Alpes, France",,France,,
Richard Wagner,Person,Male,DE,1813-05-22,1883-02-13,Leipzig,"Leipzig, Sachsen, Germany",,Germany,,
Pietro Mascagni,Person,Male,IT,1863-12-07,1945-08-02,Livorno,"Livorno, Livorno, Toscana, Italy",,Italy,,
César Franck,Person,Male,FR,1822-12-10,1890-11-08,Liège,"Liège, Liège, Wallonie, Belgium",,France,,
Frederick Delius,Person,Male,GB,1862-01-29,1934-06-10,Bradford,"Bradford, Bradford, West Yorkshire, England, United Kingdom",,United Kingdom,,
Ralph Vaughan Williams,Person,Male,GB,1872-10-12,1958-08-26,Gloucestershire,"Gloucestershire, England, United Kingdom",,United Kingdom,,
Henryk Mikołaj Górecki,Person,Male,PL,1933-12-06,2010-11-12,Śląskie,"Śląskie, Poland",,Poland,,
Neu!,Group,,DE,1971,1975,Düsseldorf,"Düsseldorf, Nordrhein-Westfalen, Germany",,Germany,,
Jane Weaver,Person,Female,GB,1972,,Liverpool,"Liverpool, Merseyside, England, United Kingdom",,United Kingdom,,
Nick Cave & The Bad Seeds,Group,,AU,1983,,Melbourne,"Melbourne, Victoria, Australia",,Australia,,
BADBADNOTGOOD,Group,,CA,2010,,Toronto,"Toronto, Ontario, Canada",,Canada,,
Field Music,Group,,GB,2004,,Sunderland,"Sunderland, Tyne and Wear, England, United Kingdom",,United Kingdom,,
La Luz,Group,,,2012,,Seattle,"Seattle, King County, Washington, United States",,,,
The Bobby Fuller Four,Group,,US,1961,1966-07-18,,,,United States,,
Stephen Malkmus,Person,Male,US,1966-05-30,,Santa Monica,"Santa Monica, Los Angeles County, California, United States",,United States,,
Tin Machine,Group,,GB,,,,,,United Kingdom,,
Deradoorian,Person,,US,,,,,,United States,,
Bouquet,Group,,,1991,,,,,,,
Eskimeaux,Group,,,2007,,Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, United States",,Brooklyn,,
The Almighty Defenders,Group,,,2009-02,,Berlin,"Berlin, Germany",,,,
Hunx and His Punx,Group,,US,2008,,,,,United States,,
The Traditional Fools,Group,,US,,,,,,United States,,
Dávila 666,Group,,PR,2005,,,,,Puerto Rico,,
Nobunny,Person,Male,US,,,,,,United States,,
Audacity,Group,,US,2005,,Fullerton,"Fullerton, Orange County, California, United States",,United States,,
Bad Sports,Group,,US,2007,,Denton,"Denton, Denton County, Texas, United States",,United States,,
Sic Alps,Group,,US,,,,,,United States,,
Tyvek,Group,,US,,,Detroit,"Detroit, Wayne County, Michigan, United States",,United States,,
Epsilons,Group,,,,,,,,,,
Girl Tears,Group,,US,2013,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Meatbodies,Group,,US,,,,,,United States,,
Sam Coffey and The Iron Lungs,Group,,CA,2007,,,,,Canada,,
Meat Market,Group,,,,,,,,Oakland,,
Death Valley Girls,Group,,US,,,,,,United States,,
Rupert Angeleyes,Person,,,,,,,,,,
Eyelids,,,,,,,,,Portland,,
The Courtneys,Group,,CA,2010,,Vancouver,"Vancouver, British Columbia, Canada",,Canada,,
Krill,,,,,,,,,,,
Sick Sad World,Group,,AU,,,Melbourne,"Melbourne, Victoria, Australia",,Australia,,
Hop Along,Group,,,2005,,Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, United States",,Philadelphia,,
C.A. Quintet,Group,,US,1966,1971,,,,United States,,
Fever Tree,Group,,US,1966,1970,Houston,"Houston, Harris County, Texas, United States",,United States,,
Ultimate Spinach,Group,,US,1967,1969,Boston,"Boston, Suffolk County, Massachusetts, United States",,United States,,
Kaleidoscope,,,,,,,,,,,
The Great Society,Group,,US,1965,1966,,,,United States,,
Savage Resurrection,,,,,,,,,,,
The Peanut Butter Conspiracy,Group,,US,1966-08,1970,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Arzachel,Group,,GB,1967,1968,London,"London, England, United Kingdom",,United Kingdom,,
The Aerovons,Group,,US,1966,1969,St. Louis,"St. Louis, Missouri, United States",,United States,,
The Misunderstood,Group,,US,1963,1969,Riverside,"Riverside, Riverside County, California, United States",,United States,,
Traffic Sound,Group,,PE,1967,1972,Lima,"Lima, Municipalidad Metropolitana de Lima, Peru",,Peru,,
Faine Jade,Person,Male,US,,,Long Island City,"Long Island City, Queens, New York, New York, United States",,United States,,
The Litter,Group,,US,1966,,Minneapolis,"Minneapolis, Hennepin County, Minnesota, United States",,United States,,
The Deviants,Group,,GB,,,,,,United Kingdom,,
July,Group,,GB,1968,1969,,,,United Kingdom,,
Hawkwind,Group,,GB,1969-10,,Ladbroke Grove,"Ladbroke Grove, Kensington and Chelsea, London, England, United Kingdom",,United Kingdom,,
13th Floor Elevators,Group,,US,1965,1969,Austin,"Austin, Travis County, Texas, United States",,United States,,
The Seeds,Group,,US,1965,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
The Groundhogs,Group,,GB,1963,,New Cross,"New Cross, Lewisham, London, England, United Kingdom",,United Kingdom,,
Moby Grape,Group,,US,1966,1990,San Francisco,"San Francisco, California, United States",,United States,,
The Moody Blues,Group,,GB,1964,,Birmingham,"Birmingham, West Midlands, England, United Kingdom",,United Kingdom,,
The Crazy World of Arthur Brown,Group,,GB,1967,,London,"London, England, United Kingdom",,United Kingdom,,
The Legendary Pink Dots,Group,,GB,1980-08,,London,"London, England, United Kingdom",,United Kingdom,,
Death in June,Group,,GB,1981,,,,,United Kingdom,,
Psychic TV,Group,,GB,1981,,Hackney,"Hackney, London, England, United Kingdom",,United Kingdom,,
Cabaret Voltaire,Group,,GB,1973,1995,Sheffield,"Sheffield, South Yorkshire, England, United Kingdom",,United Kingdom,,
Einstürzende Neubauten,Group,,DE,1980-04-01,,Berlin,"Berlin, Germany",,Germany,,
Current 93,Group,,GB,1982,,,,,United Kingdom,,
Swans,Group,,US,1982,,New York,"New York, New York, United States",,United States,,
Throbbing Gristle,Group,,GB,1975-09-03,1981-06-23,Kingston upon Hull,"Kingston upon Hull, England, United Kingdom",,United Kingdom,,
Killing Joke,Group,,GB,1979,,London,"London, England, United Kingdom",,United Kingdom,,
Robert Wyatt,Person,Male,GB,1945-01-28,,Bristol,"Bristol, England, United Kingdom",,United Kingdom,,
Soft Machine,Group,,GB,1966-09,1984-08,Canterbury,"Canterbury, City of Canterbury, Kent, England, United Kingdom",,United Kingdom,,
Gong,Group,,FR,1966,,Paris,"Paris, Île-de-France, France",,France,,
Michael Rother,Person,Male,DE,1950-09-02,,Hamburg,"Hamburg, Germany",,Germany,,
Magma,Group,,FR,1969,,,,,France,,
Popol Ace,Group,,NO,1972,1978,Oslo,"Oslo, Norway",,Norway,,
Van der Graaf Generator,Group,,GB,1967,,,,,United Kingdom,,
Taraf de Haïdouks,Group,,RO,1990,,Giurgiu,"Giurgiu, Romania",,Romania,,
Romashka,,,,,,,,,,,
Fanfare Ciocărlia,Group,,RO,,,Iași,"Iași, Romania",,Romania,,
Romano Drom,Group,,HU,1999,,,,,Hungary,,
Kultur Shock,Group,,US,1996,,Seattle,"Seattle, King County, Washington, United States",,United States,,
Municipale Balcanica,Group,,IT,2003,,,,,Italy,,
Amsterdam Klezmer Band,Group,,NL,1996,,,,,Netherlands,,
Äl Jawala,Group,,DE,2000,,,,,Germany,,
Magnifico,Person,Male,SI,,,,,,Slovenia,,
Fanfara Tirana,Group,,AL,2002,,,,,Albania,,
Gipsy.cz,Group,,CZ,,,,,,Czech Republic,,
Parno Graszt,Group,,HU,1987,,,,,Hungary,,
Boom Pam,Group,,IL,2003,,,,,Israel,,
Besh o droM,Group,,HU,1999-08,,,,,Hungary,,
Кочани Оркестар,Group,,MK,,,Kočani,"Kočani, Macedonia",,Macedonia,,
Slavic Soul Party!,Group,,US,,,,,,United States,,
Bratsch,Group,,FR,1972,,,,,France,,
Apparatschik,Group,,DE,1989,,Berlin,"Berlin, Germany",,Germany,,
OMFO,Person,,,,,,,,,,
Kal,Group,,RS,1996,,Kolubarski okrug,"Kolubarski okrug, Serbia",,Serbia,,
Emir Kusturica & The No Smoking Orchestra,Group,,RS,1997,,,,,Serbia,,
Fishtank Ensemble,Group,,US,2004,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
The Mountain Goats,Group,,US,1991,,Claremont,"Claremont, Los Angeles County, California, United States",,United States,,
Titus Andronicus,Group,,US,2005,,Glen Rock,"Glen Rock, Bergen County, New Jersey, United States",,United States,,
The Dodos,Group,,GB,,,,,,United Kingdom,,
Mongo Santamaría,Person,Male,CU,1922-04-07,2003-02-01,La Habana,"La Habana, Cuba",,Cuba,,
Lazy Lester,Person,Male,US,1933-06-20,,,,,United States,,
Ornette Coleman,Person,Male,US,1930-03-19,2015-06-11,Fort Worth,"Fort Worth, Tarrant County, Texas, United States",,United States,,
Tito Puente,Person,Male,US,1923-04-20,2000-06-01,Harlem,"Harlem, Manhattan, New York, New York, United States",,United States,,
Steve Goodman,Person,Male,US,1948-07-25,1984-09-20,,,,United States,,
Coteau,Group,,US,1975,1977,,,,United States,,
Medeski Martin & Wood,Group,,US,1991,,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
Elvin Jones,Person,Male,US,1927-09-09,2004-05-18,Pontiac,"Pontiac, Oakland County, Michigan, United States",,United States,,
Kermit Ruffins,Person,Male,US,1964-12-19,,,,,United States,,
Jenny Scheinman,Person,Female,US,1979-06-08,,,,,United States,,
Gary Burton,Person,Male,US,1943-01-23,,Indiana,"Indiana, United States",,United States,,
Dr. Michael White,Person,Male,US,1954-11-29,,,,,United States,,
Little Milton,Person,Male,US,1934-09-07,2005-08-04,Inverness,"Inverness, Sunflower County, Mississippi, United States",,United States,,
The Modern Jazz Quartet,Group,,US,1952,1993,New York,"New York, New York, United States",,United States,,
