id,name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng,place_id,place,place_full,place_latlng
45610c1f-41a4-44f1-9da6-227510073ffc,Julia Holter,Person,Female,US,1984-12-18,,Los Angeles,,,United States,,,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,"Los Angeles, Los Angeles County, California, United States",
367f0aa0-d84d-4a6c-a516-dbed44a5bc67,New Navy,Group,,,,,,,,Sydney,,,3f179da4-83c6-4a28-a627-e46b4a8ff1ed,Sydney,"Sydney, New South Wales, Australia",
3dee0ca7-99ae-4421-9c3b-f42d8caf4c88,Lower Dens,Group,,US,2009,,Baltimore,,,United States,,,2fb5445d-3987-49fe-957a-f730a7acc4a2,Baltimore,"Baltimore, Maryland, United States",
8a3e1c4f-59a8-457a-826c-fe961419a8ae,The Last Shadow Puppets,Group,,GB,2007,,Sheffield,,,United Kingdom,,,3ce737cb-f5bb-403d-a98a-e0602670229f,Sheffield,"Sheffield, South Yorkshire, England, United Kingdom",
8afef79b-d985-4f1f-abaa-940605e207b5,Lips,Person,Female,NZ,,,,,,New Zealand,,,8524c7d9-f472-3890-a458-f28d5081d9c4,New Zealand,New Zealand,
68a0067a-7a3a-43d3-bd91-391ea7600d8c,Little Joy,Group,,,2007,,,,,,,,,,,
3849799a-bcba-48a4-b74a-22967a4f2871,Alessi Brothers,Group,,US,1977,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
4bfce038-b1a0-4bc4-abe1-b679ab900f03,Django Django,Group,,GB,2009,,London,,,United Kingdom,,,f03d09b3-39dc-4083-afd6-159e3f0d462f,London,"London, England, United Kingdom",
bf6c29f5-b69f-4842-9031-37f9645d365d,Carole King,Person,Female,,1942-02-09,,Manhattan,,,Stanley,,,261962ea-d8c2-4eaf-a80c-f14376ffadb0,Manhattan,"Manhattan, New York, New York, United States",
98e4bf9e-9e33-4f07-9962-f7c1c2d773ba,Stephen Malkmus and the Jicks,Group,,US,2000,,Portland,,,United States,,,2b748d6e-bc1c-4434-9f7b-ecd6332bc557,Portland,"Portland, Multnomah County, Oregon, United States",
caf10f94-6c3a-4a71-b5f1-523c74007f92,Gonjasufi,Person,Male,US,1978,,Chula Vista,,,United States,,,ee0f2b6b-61ae-45fa-9ed6-3dee8e4f7321,Chula Vista,"Chula Vista, San Diego County, California, United States",
33d837ea-d876-4a44-bcd4-26dac249c6dc,Rush Midnight,Person,Male,,,,,,,Brooklyn,,,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,"Brooklyn, New York, New York, United States",
f3372768-06b5-4b1f-8f85-857dd758c42c,Can,Group,,,,,,,,,,,,,,
c4593b34-2a94-4e44-ae10-4a0f4c0b4da8,Sylvan Esso,Group,,,2012,,Durham,,,Durham,,,ad641986-dad6-4f0a-bf90-2430ac5d0c86,Durham,"Durham, Durham County, North Carolina, United States",
cf8782b5-d21d-4b65-bcd5-1387a11e87ea,Sabina,Person,Female,DE,1975-02-23,,Rome,,,Germany,,,dccd77b2-bd3d-49eb-a98f-fd58e87f481e,Rome,"Rome, Roma, Lazio, Italy",
51f1ca49-846a-4ef1-b4fa-187ecc88bbe5,Com Truise,Person,Male,US,,,Oneida,,,United States,,,a2f1cc86-1281-47da-ab54-39e47f239496,Oneida,"Oneida, Madison County, New York, United States",
d162ac45-36a6-4810-9635-d0736f5a4586,The Drink,Group,,,,,,,,,,,,,,
a0498514-c21c-4e85-8dbf-a1b92374a06b,"Albert Hammond, Jr.",Person,Male,US,1980-04-09,,Los Angeles,,,United States,,,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,"Los Angeles, Los Angeles County, California, United States",
04380c85-62e3-402e-9c6e-520f6d16a553,Cotton Jones,Group,,US,2005,,Cumberland,,,United States,,,9d71b04d-4238-435a-b0ce-e501636fbca1,Cumberland,"Cumberland, Allegany County, Maryland, United States",
63862e0f-4e06-458e-88d7-2baabbf27398,François & the Atlas Mountains,Group,,GB,,,,,,United Kingdom,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,United Kingdom,
e938a15c-b17e-4e7a-9f68-ff0d536cab44,The Jesus and Mary Chain,Group,,GB,1984,,East Kilbride,,,United Kingdom,,,a98a93a1-1de5-4835-a66a-b703b9fc8c9f,East Kilbride,"East Kilbride, South Lanarkshire, Scotland, United Kingdom",
720df570-c435-4be5-a755-357d9fd98bc8,The Walker Brothers,Group,,US,,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
c0dd8604-9b6d-4a2c-999d-be7acef71b75,Soko,Group,,US,1990,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
c213f661-70a8-42aa-b858-62f5bd2d72e9,Cass McCombs,Person,Male,US,1977-11-13,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
a3212186-5da5-4e84-a935-6952b3e14921,Os Mutantes,Group,,BR,1966,,São Paulo,,,Brazil,,,33e0f86c-d709-448d-a484-d55778913af1,São Paulo,"São Paulo, São Paulo, Brazil",
9b8ca57a-9959-4e9e-b25e-422e81c03793,Sarah Williams White,Person,Female,,,,,,,,,,,,,
fa36f005-b380-4544-9cb9-65d5da356d60,The Virgins,Group,,,,,,,,,,,,,,
138a2979-8c8a-4de5-8bfd-76f6227bd457,Chrome Sparks,Person,Male,US,,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
e0e5703a-50f7-4856-ae92-2841ac1c1424,The Electric Peanut Butter Company,Group,,US,2010,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
7a5e7e9a-2ee5-41ae-bb7d-89852adf0e01,Haley Bonar,Person,Female,US,1983,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
710c7ffa-977e-4431-9f00-c8d4eddf6808,Irma Thomas,Person,Female,US,1941-02-18,,Ponchatoula,,,United States,,,3d98c6cd-d4e1-46e5-974e-c45a9b8003b4,Ponchatoula,"Ponchatoula, Tangipahoa Parish, Louisiana, United States",
315aae32-29a8-46c8-b9a5-b448512f6cb1,Casa del mirto,Group,,IT,,,,,,Italy,,,c6500277-9a3d-349b-bf30-41afdbf42add,Italy,Italy,
7d0e8067-10b9-4069-95dc-1110a0fbb877,Vulfpeck,Group,,US,2011,,Ann Arbor,,,United States,,,a1bb8b02-0496-4cfa-a771-2482e55451af,Ann Arbor,"Ann Arbor, Washtenaw County, Michigan, United States",
9beb62b2-88db-4cea-801e-162cd344ee53,Beastie Boys,Group,,US,1979,2014,New York,,,United States,,,74e50e58-5deb-4b99-93a2-decbb365c07f,New York,"New York, New York, United States",
a998ff5a-46ac-4d0d-82c8-983280d6e355,JAVELIN,,,,,,,,,,,,,,,
4bf72a7b-0675-4d48-a4a0-03de57d1d6be,Star Slinger,Person,Male,GB,1986,,Nottinghamshire,,,United Kingdom,,,5ee7ea17-1e59-453f-b410-a1412893f5f2,Nottinghamshire,"Nottinghamshire, England, United Kingdom",
294d06f7-fd1f-4cbe-a433-bb9cd6ac937b,Bahamas,Person,Male,CA,1981-04-28,,Toronto,,,Canada,,,74b24e62-d2fe-42d2-9d96-31f2da756c77,Toronto,"Toronto, Ontario, Canada",
2aeb9baf-1fe7-4074-8e9e-4db8debc538f,The Killer Meters,Group,,,,,,,,,,,,,,
074ad168-8c8b-44df-8388-110bbea45a2b,Jan Hammer Group,Group,,,,,,,,,,,,,,
9f06865b-11c8-4c60-a48a-0044eadc8c3e,Willie Mitchell,Person,Male,US,,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
37116914-db39-443c-981d-75d6326450f1,The Phenomenal Handclap Band,Group,,,,,,,,,,,,,,
9be98950-842a-4dab-8007-14209f6cdee4,Acre,Person,,,,,,,,,,,,,,
40419b33-18e9-4d5a-a674-30b4bb14bac2,Alabama Shakes,Group,,US,2009,,Athens,,,United States,,,5b763793-cc2f-40e8-ad3d-0a48986afa6d,Athens,"Athens, Limestone County, Alabama, United States",
d1aed914-6a94-4643-9af4-b80682aa6c14,Grupo Fantasma,Group,,,2000,,Austin,,,Texas,,,58d2816b-daf9-4fc5-962c-06967f14a5e5,Austin,"Austin, Travis County, Texas, United States",
8951c87f-f730-4247-b442-52ed14ad6a97,Laura Veirs,Person,Female,US,1973-10-24,,Colorado Springs,,,United States,,,6833b340-b82b-4ce6-9434-dad8da899c28,Colorado Springs,"Colorado Springs, El Paso County, Colorado, United States",
21351ca4-8fb5-4a47-abd3-4443c2db1288,Lee Moses,Person,Male,US,1941-03-13,1997,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
40494066-84ba-4c9a-b1d1-b86199102133,Jib Kidder,Group,,,2001-09,,,,,,,,,,,
e01c3376-15fa-40d7-b747-5f219bdefdd7,Steely Dan,Group,,US,1972,,Annandale-on-Hudson,,,United States,,,0481ddd1-26f6-4ede-a73a-45af181137dc,Annandale-on-Hudson,"Annandale-on-Hudson, Dutchess County, New York, United States",
