id,name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng,place_id,place,place_full,place_latlng
779353f3-6401-4cda-a8a2-6fd3ec9bc11b,The Mighty Mighty Bosstones,Group,,US,1983,,Boston,,,United States,,,e331bfdf-b908-429c-a79b-710cf9c06abb,Boston,"Boston, Suffolk County, Massachusetts, United States","42.3604823,-71.0595677"
bbc5b66b-d037-4f26-aecf-0b129e7f876a,Jimmy Eat World,Group,,US,1993,,Mesa,,,United States,,,7d91cb03-a830-4e47-abe1-f1bba622cad2,Mesa,"Mesa, Maricopa County, Arizona, United States","33.4153143,-111.831264"
f66b685d-9abe-4be6-8e59-9a7486be1964,Leona Naess,Person,Female,GB,1974-07-31,,,,,United Kingdom,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,United Kingdom,
f115c91a-2f30-4c0a-a6ce-e67411f2247f,The Refreshments,Group,,,,,,,,Kokkola,,,ca02a2a8-9816-4693-99d5-66913b49d724,Kokkola,"Kokkola, Keski-Pohjanmaa, Finland","63.8365833,23.1336253"
da66103a-1307-400d-8261-89d856126867,Nerf Herder,Group,,US,1994,,Santa Barbara,,,United States,,,f12f47f9-daf9-4eec-a30e-e8a9e9bd4124,Santa Barbara,"Santa Barbara, Santa Barbara County, California, United States","34.4098107,-119.6970238"
6f29020d-49c1-4e26-869a-0603d14b7ca7,Stabbing Westward,Group,,US,1985,2002-02-09,Macomb,,,United States,,,d383c7cd-d642-4b95-9f8a-eb3d77e66772,Macomb,"Macomb, McDonough County, Illinois, United States","40.4588774,-90.6709793"
cfe572bf-840f-4bed-934a-f69f4b1e90d4,White Zombie,Group,,US,1985,1996,New York,,,United States,,,74e50e58-5deb-4b99-93a2-decbb365c07f,New York,"New York, New York, United States","40.7305991,-73.9865811"
5c210861-2ce2-4be3-9307-bbcfc361cc01,Pennywise,Group,,US,1988,,Hermosa Beach,,,United States,,,ae918dff-19af-499f-bc05-125e5e939f82,Hermosa Beach,"Hermosa Beach, Los Angeles County, California, United States","33.86428,-118.3959099"
d4d17620-fd97-4574-92a8-a2cb7e72ce42,The Verve,Group,,GB,1989,2009,Wigan,,,United Kingdom,,,719ad60b-f32b-4eea-a968-6e4e4975a5c3,Wigan,"Wigan, Wigan, Greater Manchester, England, United Kingdom","53.5450898,-2.6340391"
aa266ac7-d919-4132-982e-76cbd95591a7,Collective Soul,Group,,US,1992,,Stockbridge,,,United States,,,49b32a9e-a2f0-4a57-857e-fcd50b274a6b,Stockbridge,"Stockbridge, Henry County, Georgia, United States","33.5442781,-84.2338092"
e273f427-3287-472d-84fe-1a9f2f91e5e2,Train,Group,,DE,,,,,,Germany,,,85752fda-13c4-31a3-bee5-0e5cb1f51dad,Germany,Germany,
a506f761-2c22-4b2f-8a94-bd748c2c8f75,Neutral Milk Hotel,Group,,US,1989,1998,Ruston,,,United States,,,970c9f3c-4b1c-4860-991d-f687632e8937,Ruston,"Ruston, Lincoln Parish, Louisiana, United States","32.5232053,-92.6379269"
3c0a0074-4f26-4d3b-b723-a66bf6cc3753,Hanson,Group,,US,1992,,Tulsa,,,United States,,,1be74a46-6d7a-4285-9f41-9df7424319c9,Tulsa,"Tulsa, Tulsa County, Oklahoma, United States","36.1556805,-95.9929112"
