image,stadium,city,state,team,conference,capacity,built,expanded
Memorial Stadium ReDedication.jpg,Memorial Stadium,Champaign,IL,Illinois,Big Ten,"60,670[88]",1923[90],2011[88]
,,,,,,,,
Vaught-Hemingway-Stadium pressbox.JPG,Vaught–Hemingway Stadium,Oxford,MS,Mississippi,SEC,"60,580[152]",1915[152],2002[152]
,,,,,,,,
Boone-Pickens-Stadium-Outside-South.jpg,Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,"60,218[21]",1919[21],2005[21]
,,,,,,,,
WVU Opening Game Mountaineer Field.jpg,Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia,Big 12,"60,000[100]",1980[100],2004[100]
,,,,,,,,
Carter-Finley Stadium 1.jpg,Carter–Finley Stadium,Raleigh,NC,NC State,ACC,"57,583[35]",1966,2006
,,,,,,,,
RossAde.JPG,Ross–Ade Stadium,West Lafayette,IN,Purdue,Big Ten,"56,400[124]",1924[124],2006[124]
,,,,,,,,
BobbyDoddStadiumGTMiami2008.jpg,Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,"55,000[19]",1913[19],2003[19]
,,,,,,,,
Papa John's Cardinal Stadium after expansion in 2010.jpeg,Papa John's Cardinal Stadium,Louisville,KY,Louisville,ACC,"55,000[109]",1998[109],2009[109]
,,,,,,,,
Autzen Stadium 201004.jpg,Autzen Stadium,Eugene,OR,Oregon,Pac-12,"54,000",1967,2002
,,,,,,,,
MemorialStadium-IUB.jpg,Memorial Stadium,Bloomington,IN,Indiana,Big Ten,"52,959[91]",1960[91],2010[91]
,,,,,,,,
TCF Bank Stadium - Minnesota Golden Gophers.jpg,TCF Bank Stadium,Minneapolis,MN,Minnesota,Big Ten,"52,525",2009[144],
,,,,,,,,
High Point Solutions Stadium-Rutgers University.jpg,High Point Solutions Stadium,Piscataway,NJ,Rutgers,Big Ten,"52,454[58]",1994[60],2009[60]
,,,,,,,,
University of Arizona Stadium.jpg,Arizona Stadium,Tucson,AZ,Arizona,Pac-12,"51,811+[9]",1928[9],1988[9]
,,,,,,,,
Byrd Stadium interior 2.jpg,Byrd Stadium,College Park,MD,Maryland,Big Ten,"51,802[27]",1950[28],2009[28]
,,,,,,,,
UTEP Sun Bowl Stadium Aerial View Sept 6 2009.jpg,Sun Bowl Stadium,El Paso,TX,UTEP,C-USA,"51,500",1963,1981
,,,,,,,,
Folsom field.jpg,Folsom Field,Boulder,CO,Colorado,Pac-12,"50,183[52]",1924[52],2003[52]
,,,,,,,,
Kansas Memorial Stadium.jpg,Memorial Stadium,Lawrence,KS,Kansas,Big 12,"50,071[93]",1921[93],1999[93]
,,,,,,,,
"Aloha Stadium, Hawaii.jpg",Aloha Stadium,Honolulu,HI,Hawaii,Mountain West,"50,000[4]",1975[4],2003[4]
,,,,,,,,
