image,stadium,city,state,team,conference,capacity,built,expanded
Flagstaff NAU Skydome.jpg,Walkup Skydome,Flagstaff,Arizona,Northern Arizona Lumberjacks,Big Sky,"15,300[100]",1977[100],
,Saluki Stadium,Carbondale,Illinois,Southern Illinois Salukis,Missouri Valley,"15,276",2010,
Shotwell1.jpg,Shotwell Stadium,Abilene,Texas,Abilene Christian Wildcats,Southland,"15,075",1959,2002
Dartmouth Memorial Field 1.jpg,Memorial Field,Hanover,New Hampshire,Dartmouth Big Green,Ivy,"15,000[68]",1923[68],
ISU vs Drake at Hancock Stadium.jpg,Hancock Stadium,Normal,Illinois,Illinois State Redbirds,Missouri Valley,"15,000[45]",1963[45],
,Coughlin–Alumni Stadium,Brookings,South Dakota,South Dakota State Jackrabbits,Missouri Valley,"15,000[22]",1962[22],
,,,,,,,,
,Homer Bryce Stadium,Nacogdoches,Texas,Stephen F. Austin Lumberjacks,Southland,"15,000",1973,2003
,,,,,,,,
"US Navy 110429-N-0000W-312 Members of the U.S. Navy parachute demonstration team, the Leap Frogs, perform above Drake Stadium during the opening ce.jpg",Drake Stadium,Des Moines,Iowa,Drake Bulldogs,Pioneer,"14,557[27]",1925,2005[27]
Bowers Stadium,Bowers Stadium,Huntsville,Texas,Sam Houston State Bearkats,Southland,"14,000[13]",1986[13],1986
,,,,,,,,
,E. J. Whitmire Stadium,Cullowhee,North Carolina,Western Carolina Catamounts,Southern,"13,742",1974[28],
,,,,,,,,
Fisher Field.jpg,Fisher Field,Easton,Pennsylvania,Lafayette Leopards,Patriot,"13,132[35]",1926[35],
,Christy Mathewson–Memorial Stadium,Lewisburg,Pennsylvania,Bucknell Bison,Patriot,"13,100[21]",1924[21],1989[21]
Gibbs Stadium.jpg,Gibbs Stadium,Spartanburg,South Carolina,Wofford Terriers,Southern,"13,000",1996[40],
,Villanova Stadium,Villanova,Pennsylvania,Villanova Wildcats,CAA,"12,500[98]",1927[98],
ISU Memorial Stadium.jpg,Memorial Stadium,Terre Haute,Indiana,Indiana State Sycamores,Missouri Valley,"12,464",1925,
Alerus Center.png,Alerus Center,Grand Forks,North Dakota,North Dakota,Big Sky,"12,283[1]",2001[1],
Zable Stadium outside.jpg,Zable Stadium,Williamsburg,Virginia,William & Mary Tribe,CAA,"12,259[107]",1935[107],
,,,,,,,,
"Holt Arena, Idaho State University, Pocatello, Idaho.jpg",Holt Arena,Pocatello,Idaho,Idaho State Bengals,Big Sky,"12,000[52]",1970[52],
RhodesStadiumEmpty.jpg,Rhodes Stadium,Elon,North Carolina,Elon Phoenix,CAA,"11,250",2001,
,,,,,,,,
Alex G. Spanos Stadium2.jpg,Alex G. Spanos Stadium,San Luis Obispo,California,Cal Poly Mustangs,Big Sky,"11,075[2]",2006[2],
,Houck Stadium,Cape Girardeau,Missouri,Southeast Missouri State Redhawks,Ohio Valley,"11,015",1930[55],
JohnnyUnitasStadium2013.jpg,Johnny Unitas Stadium,Towson,Maryland,Towson Tigers,CAA,"11,000[59]",1978,2002[59]
WelcomeStadiumINSIDE.jpg,Welcome Stadium,Dayton,Ohio,Dayton Flyers,Pioneer,"11,000[102]",1949[102],1974[102]
Aggie Stadium (UC Davis).jpg,Aggie Stadium,Davis,California,UC Davis Aggies,Big Sky,"10,849",2007,
Manning Field at John L Guidry Stadium-Colonels Club Room.jpg,John L. Guidry Stadium,Thibodaux,Louisiana,Nicholls State Colonels,Southland,"10,500",1972,2012
,,,,,,,,
,Andy Kerr Stadium,Hamilton,New York,Colgate Raiders,Patriot,"10,221[5]",1966,1991
Tony and Nancy Moye Football and Lacrosse Complex.jpg,Moye Complex,Macon,Georgia,Mercer Bears,Southern,"10,200",2013,N/A
NCCU's O'Kelly-Riddick Stadium.JPG,O'Kelly–Riddick Stadium,Durham,North Carolina,North Carolina Central Eagles,MEAC,"10,000[74]",1975,
,O'Brien Stadium,Charleston,Illinois,Eastern Illinois Panthers,Ohio Valley,"10,000[73]",1970[73],1999[73]
JayneStadium1.jpg,Jayne Stadium,Morehead,Kentucky,Morehead State Eagles,Pioneer,"10,000[57]",1964[57],
2008-0831-VMI-AlumniMemorialField.jpg,Alumni Memorial Field,Lexington,Virginia,VMI Keydets,Southern,"10,000[4]",1962[4],2006[4]
,Governors Stadium,Clarksville,Tennessee,Austin Peay Governors,Ohio Valley,"10,000[42]",1946[42],2014[43]
"Alfond Stadium, University of Maine, Orono, Maine.jpg",Alfond Stadium,Orono,Maine,Maine Black Bears,CAA,"10,000[3]",1998[3],
,,,,,,,,
,DakotaDome,Vermillion,South Dakota,South Dakota Coyotes,Missouri Valley,"10,000[25]",1979[25],2007[25]
,Kermit Tipton Stadium,Johnson City,Tennessee,East Tennessee State Buccaneers,Southern,"6,600",2010,N/A
"Hughes Stadium, Morgan State University.jpg",Hughes Stadium,Baltimore,Maryland,Morgan State Bears,MEAC,"10,000",1949,
Bhcgame.jpg,Municipal Stadium,Daytona Beach,Florida,Bethune–Cookman Wildcats,MEAC,"10,000",1979,
,Rice–Totten Field,Itta Bena,Mississippi,Mississippi Valley State Delta Devils,SWAC,"10,000",1958,
Greene Stadium.jpg,William H. Greene Stadium,Washington,D.C.,Howard Bison,MEAC,"10,000",1986,
CoastalBrooksStad2.jpg,Brooks Stadium,Conway,South Carolina,Coastal Carolina Chanticleers,Big South,"9,214[15]",2003[15],"2006,2010[15]"
